,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kaeo,-35.1,173.78,61.0,86,45,5.01,NZ,1600881495
1,tautira,-17.73,-149.15,77.0,73,20,6.93,PF,1600881495
2,kampot,10.62,104.18,77.0,88,40,2.24,KH,1600881495
3,klaksvik,62.23,-6.59,44.6,93,59,8.05,FO,1600881495
4,benguela,-12.58,13.41,73.4,78,27,6.93,AO,1600881496
5,barrow,71.29,-156.79,30.2,74,90,3.36,US,1600881496
6,punta arenas,-53.15,-70.92,53.6,54,75,29.97,CL,1600881250
7,juegang,32.32,121.19,65.84,73,8,5.06,CN,1600881496
8,hermanus,-34.42,19.23,57.99,86,0,6.71,ZA,1600881496
9,castro,-24.79,-50.01,69.26,59,70,5.14,BR,1600881496
10,busselton,-33.65,115.33,57.0,54,0,13.62,AU,1600881331
11,kilcormac,53.17,-7.73,53.01,69,59,1.99,IE,1600881497
12,terny,50.98,33.98,61.66,34,0,5.03,UA,1600881497
13,hilo,19.73,-155.09,73.4,88,90,1.48,US,1600881497
15,mataura,-46.19,168.86,51.01,75,94,5.01,NZ,1600881497
16,portland,45.52,-122.68,64.0,88,90,12.75,US,1600881235
17,mahebourg,-20.41,57.7,69.8,73,40,5.82,MU,1600881497
18,jaque,7.52,-78.17,82.4,77,98,6.46,PA,1600881498
19,butaritari,3.07,172.79,81.55,76,69,15.23,KI,1600881498
20,birao,10.28,22.79,76.5,74,37,3.29,CF,1600881498
21,goure,13.98,10.27,93.99,30,0,8.16,NE,1600881498
22,sao desiderio,-12.36,-44.97,98.06,22,65,3.49,BR,1600881498
23,carnarvon,-24.87,113.63,62.6,72,75,4.7,AU,1600881498
24,rikitea,-23.12,-134.97,72.12,74,3,12.86,PF,1600881310
25,chuy,-33.7,-53.46,64.72,59,71,4.05,UY,1600881499
26,georgetown,5.41,100.34,80.6,83,40,3.36,MY,1600881499
27,new norfolk,-42.78,147.06,41.0,77,42,2.21,AU,1600881499
28,umtata,-31.59,28.78,66.2,29,21,6.93,ZA,1600881499
29,anaco,9.44,-64.47,89.51,60,93,8.28,VE,1600881499
30,jawhar,2.78,45.5,78.44,73,33,16.44,SO,1600881499
31,mpulungu,-8.76,31.11,82.56,37,54,3.65,ZM,1600881499
32,ushuaia,-54.8,-68.3,51.8,74,75,19.46,AR,1600881500
33,abrau-dyurso,44.69,37.59,62.6,77,0,4.47,RU,1600881500
34,coahuayana,18.73,-103.68,78.8,78,5,2.33,MX,1600881355
35,lompoc,34.64,-120.46,66.2,82,1,6.93,US,1600881500
36,matara,5.95,80.54,77.95,87,38,7.43,LK,1600881500
37,ocampo,21.65,-101.5,68.43,38,0,2.8,MX,1600881500
38,hithadhoo,-0.6,73.08,82.71,62,45,5.17,MV,1600881500
39,hobart,-42.88,147.33,42.8,87,75,4.7,AU,1600881238
40,moron,-34.65,-58.62,78.01,33,61,3.36,AR,1600881446
41,pisco,-13.7,-76.22,64.99,77,75,8.05,PE,1600881501
42,ostersund,63.18,14.64,44.6,87,90,10.29,SE,1600881501
43,lebu,-37.62,-73.65,55.38,65,30,14.36,CL,1600881501
44,ribeira grande,38.52,-28.7,68.0,64,75,17.22,PT,1600881501
45,gien,47.69,2.63,72.0,56,77,9.71,FR,1600881502
46,hanko,59.83,22.95,59.0,92,0,15.35,FI,1600881427
47,bredasdorp,-34.53,20.04,55.4,82,0,1.12,ZA,1600881488
48,chokurdakh,70.63,147.92,36.03,94,81,7.07,RU,1600881502
49,singaraja,-8.11,115.09,79.54,63,32,3.71,ID,1600881502
50,qaanaaq,77.48,-69.36,16.2,83,78,13.78,GL,1600881502
51,ekhabi,53.51,142.97,42.78,82,0,4.56,RU,1600881502
52,khatanga,71.97,102.5,46.56,93,100,3.85,RU,1600881502
53,cape town,-33.93,18.42,62.01,87,22,13.87,ZA,1600881233
54,emilio carranza,19.97,-96.61,83.59,54,0,5.12,MX,1600881503
56,rodbyhavn,54.65,11.35,66.0,79,0,1.01,DK,1600881503
57,tuktoyaktuk,69.45,-133.04,37.4,93,90,6.93,CA,1600881503
58,coldwater,41.94,-85.0,75.2,53,1,4.7,US,1600881503
59,bethel,41.37,-73.41,75.0,49,1,10.29,US,1600881412
60,pascagoula,30.37,-88.56,84.2,70,90,18.34,US,1600881504
61,souillac,-20.52,57.52,69.8,73,40,5.82,MU,1600881504
62,novoagansk,61.94,76.66,40.26,89,80,8.77,RU,1600881504
63,kawalu,-7.38,108.21,74.07,89,89,1.19,ID,1600881504
64,kodiak,57.79,-152.41,51.8,81,90,10.29,US,1600881504
66,yinchuan,38.47,106.27,62.15,31,0,4.03,CN,1600881505
67,vostok,46.49,135.88,41.97,98,0,3.13,RU,1600881505
68,airai,-8.93,125.41,61.16,60,0,3.0,TL,1600881505
69,alberdi,-32.89,-60.69,82.0,22,15,4.7,AR,1600881505
70,lagoa,39.05,-27.98,64.44,75,49,21.77,PT,1600881505
71,tshikapa,-6.42,20.8,76.08,75,100,2.39,CD,1600881505
72,tisul,55.76,88.31,41.36,85,27,8.48,RU,1600881506
73,albany,42.6,-73.97,73.0,51,70,8.99,US,1600881343
74,yumen,40.28,97.2,58.12,34,98,5.99,CN,1600881506
75,saint anthony,45.02,-93.22,80.01,50,1,6.93,US,1600881506
76,fortuna,40.6,-124.16,72.0,72,1,5.82,US,1600881496
77,vaini,-21.2,-175.2,69.8,88,20,5.82,TO,1600881506
78,hambantota,6.12,81.12,80.6,83,40,5.82,LK,1600881506
79,aswan,24.09,32.91,99.0,17,0,21.54,EG,1600881507
80,sudzha,51.2,35.27,61.72,39,0,4.12,RU,1600881507
81,saint george,37.1,-113.58,82.0,23,1,3.36,US,1600881507
82,nikolskoye,59.7,30.79,64.0,77,0,6.71,RU,1600881507
83,dikson,73.51,80.55,40.28,85,90,17.74,RU,1600881507
84,bambous virieux,-20.34,57.76,69.8,73,40,5.82,MU,1600881507
85,atuona,-9.8,-139.03,77.95,73,26,22.37,PF,1600881508
86,zeya,53.75,127.27,49.75,84,100,6.55,RU,1600881508
87,saint-philippe,-21.36,55.77,68.0,68,22,4.7,RE,1600881508
88,the pas,53.83,-101.25,53.6,62,1,6.93,CA,1600881508
89,nanortalik,60.14,-45.24,39.25,73,91,12.08,GL,1600881508
90,jardim,-21.48,-56.14,93.11,40,0,2.1,BR,1600881508
91,kavaratti,10.57,72.64,81.66,81,99,18.52,IN,1600881509
92,moussoro,13.64,16.49,99.16,15,14,7.83,TD,1600881509
94,port lincoln,-34.73,135.87,52.09,70,86,10.94,AU,1600881509
95,hobyo,5.35,48.53,77.52,83,23,26.11,SO,1600881509
96,east london,-33.02,27.91,64.4,77,5,4.7,ZA,1600881509
97,husavik,66.04,-17.34,37.4,83,75,12.75,IS,1600881510
98,tottori,35.5,134.23,70.47,85,100,5.12,JP,1600881510
99,coquimbo,-29.95,-71.34,53.6,93,90,12.75,CL,1600881510
100,invermere,50.52,-116.04,60.01,62,91,7.0,CA,1600881310
101,poum,-20.23,164.02,72.03,78,17,12.71,NC,1600881510
102,bokoro,12.38,17.06,89.82,42,33,10.02,TD,1600881510
103,port alfred,-33.59,26.89,63.72,74,31,7.4,ZA,1600881510
104,olafsvik,64.89,-23.71,38.41,74,99,22.7,IS,1600881511
105,longyearbyen,78.22,15.64,32.0,91,75,11.41,SJ,1600881511
106,lavrentiya,65.58,-171.0,38.53,86,89,5.3,RU,1600881511
107,bluff,-46.6,168.33,51.01,75,73,5.01,NZ,1600881511
108,mazatlan,23.22,-106.42,87.01,88,75,4.7,MX,1600881219
109,codrington,-38.27,141.97,44.31,84,96,7.94,AU,1600881511
110,bilibino,68.05,166.44,34.27,91,100,5.12,RU,1600881511
111,suba,10.84,121.01,84.72,74,47,7.7,PH,1600881512
112,port elizabeth,-33.92,25.57,60.8,87,39,3.36,ZA,1600881512
113,fukue,32.69,128.84,71.91,81,100,4.94,JP,1600881512
114,victoria,22.29,114.16,82.99,81,90,1.99,HK,1600881512
115,pringsewu,-5.36,104.97,76.14,94,41,2.62,ID,1600881512
116,flinders,-34.58,150.86,55.0,65,0,1.01,AU,1600881512
117,narsaq,60.92,-46.05,44.6,19,40,8.05,GL,1600881513
118,dauriya,49.93,116.87,39.34,89,19,8.63,RU,1600881514
119,plaeng yao,13.58,101.28,88.0,99,100,4.7,TH,1600881514
120,emerald,-23.53,148.17,69.8,77,76,5.41,AU,1600881514
