,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ayan,56.45,138.17,56.39,60,0,3.94,RU,1600824633
1,karachi,24.91,67.08,80.6,88,20,3.36,PK,1600824634
2,bontang,0.13,117.5,75.27,90,100,3.2,ID,1600824377
3,grand gaube,-20.01,57.66,66.0,75,1,3.0,MU,1600824634
4,bosaso,11.28,49.18,87.84,60,100,0.76,SO,1600824634
5,cape town,-33.93,18.42,57.99,87,11,12.75,ZA,1600824555
6,moree,-29.47,149.85,73.4,27,0,10.29,AU,1600824634
7,kabompo,-13.59,24.2,66.7,38,0,8.39,ZM,1600824635
8,sitka,57.05,-135.33,57.2,58,90,17.22,US,1600824635
9,hobart,-42.88,147.33,59.0,47,75,17.22,AU,1600824446
10,albany,42.6,-73.97,57.0,45,0,6.71,US,1600824479
11,castro,-24.79,-50.01,49.05,94,22,8.16,BR,1600824635
12,san patricio,19.22,-104.7,80.6,83,75,9.17,MX,1600824636
13,barrow,71.29,-156.79,33.8,80,90,13.87,US,1600824497
14,bluff,-46.6,168.33,59.0,75,23,5.01,NZ,1600824636
15,kibala,9.11,18.35,75.2,94,20,6.33,TD,1600824636
16,alvand,36.32,49.17,48.83,93,24,3.27,IR,1600824637
17,mount isa,-20.73,139.5,78.8,29,5,10.29,AU,1600824637
18,cabo san lucas,22.89,-109.91,87.01,78,20,16.11,MX,1600824589
19,qaanaaq,77.48,-69.36,12.52,80,3,9.24,GL,1600824637
20,horasan,40.05,42.17,49.86,80,0,1.05,TR,1600824637
21,san rafael,-34.62,-68.33,65.26,26,100,6.85,AR,1600824606
22,lishui,28.46,119.91,66.4,88,100,2.17,CN,1600824637
23,nedjo,9.5,35.5,58.24,94,84,0.54,ET,1600824638
24,nome,64.5,-165.41,48.2,61,75,10.29,US,1600824594
25,buraydah,26.33,43.98,73.4,35,0,5.82,SA,1600824638
26,whitehorse,60.72,-135.05,51.8,53,90,5.82,CA,1600824609
27,komsomolskiy,40.43,71.72,59.0,47,5,4.7,UZ,1600824638
28,ribeira grande,38.52,-28.7,68.92,85,100,25.72,PT,1600824638
29,sisimiut,66.94,-53.67,29.91,92,0,5.75,GL,1600824638
31,saint george,37.1,-113.58,91.4,14,1,10.29,US,1600824537
32,mataura,-46.19,168.86,59.0,75,87,5.01,NZ,1600824639
33,atuona,-9.8,-139.03,78.55,72,0,18.75,PF,1600824639
34,rikitea,-23.12,-134.97,72.84,75,100,18.01,PF,1600824639
35,mahebourg,-20.41,57.7,64.4,82,20,3.36,MU,1600824639
36,hukuntsi,-24.0,21.75,60.12,64,35,17.58,BW,1600824640
37,georgetown,5.41,100.34,82.4,83,20,4.7,MY,1600824640
38,cherskiy,68.75,161.3,39.76,90,99,2.86,RU,1600824640
39,port alfred,-33.59,26.89,57.63,67,0,4.09,ZA,1600824640
40,leningradskiy,69.38,178.42,39.87,88,100,20.07,RU,1600824641
41,santa fe,-31.63,-60.7,55.0,56,16,7.7,AR,1600824641
42,tiksi,71.69,128.87,47.59,60,33,20.36,RU,1600824641
43,tuktoyaktuk,69.45,-133.04,39.2,86,90,4.7,CA,1600824641
44,nikolskoye,59.7,30.79,51.01,93,75,2.24,RU,1600824641
46,vanimo,-2.67,141.3,87.53,57,100,6.4,PG,1600824642
47,liverpool,53.41,-2.98,59.0,66,100,9.44,GB,1600824368
48,auki,-8.77,160.7,84.22,72,89,3.36,SB,1600824642
49,thompson,55.74,-97.86,51.8,62,75,11.41,CA,1600824642
50,klaksvik,62.23,-6.59,39.2,93,96,2.24,FO,1600824642
51,fez,34.04,-5.0,69.8,60,100,4.7,MA,1600824642
